location,city,lat,lng,avg_val,count_measurements
Xert/Chert,,42.702168,0.91528,0.36261261261261263,222
STARLAB MOGA Tredos,,41.415127,2.131705,1.5701086956521737,184
Starlab Barcelona,,41.369755,2.137899,0.9609890109890117,182
Sants 3 Ràdio,,40.74286,-4.472696,0.5980769230769228,208
Santa María del Cubillo,,41.40033,2.145856,3.5065326633165816,199
Plaza Molina,,37.062893,-3.385861,13.822222222222223,189
Observatorio de Sierra Nevada,,37.0917,-2.363404,2759.751461988306,171
METAS,,36.75556,-4.069489,0.44666666666666643,165
La Vaguada James,,41.63295,-0.753018,1.7163636363636365,165
La Puebla de Alfinden,,36.780224,-3.894598,3.990853658536586,164
La Molineta,,41.616116,-4.737996,1.8707865168539328,178
JJ6- Línea circular,,43.336266,-8.352069,3.4941463414634137,205
Idaea_16,Valencia/València,39.425279999473,-0.4825,0.019634703196347036,219
ES2055A,Madrid,40.3128499994701,-3.71724,3.0,2
ES2028A,Ourense,42.0616666594658,-7.40854166,3.0,2
ES2014A,Alicante/Alacant,37.9911111094788,-0.69,2.5,2
ES2008A,Madrid,40.3847222194699,-3.71861111,6.0,2
ES1943A,Valencia/València,39.4574999994729,-0.34277777,4.5,2
ES1912A,Valencia/València,39.705277769472,-0.33666666,1.0,2
ES1911A,Lugo,42.9980555494644,-7.55,2.4,2
ES1905A,A Coruña,42.8877777694645,-8.53083333,4.9,2
ES1901A,Valencia/València,39.4802777694728,-0.33638888,5.0,2
ES1885A,Castellón/Castelló,39.9452777694712,-0.05638888,2.5,2
ES1877A,Madrid,40.4299999994697,-3.54583,4.0,2
ES1869A,A Coruña,42.8758333294645,-8.55916666,4.0,2
ES1868A,A Coruña,43.4805555494638,-8.24138888,3.5,2
ES1867A,La Rioja,42.4388899994652,-2.25028,3.5,2
ES1779A,La Rioja,42.3399999994653,-2.05972,1.0,2
ES1753A,La Rioja,42.3416699994653,-2.23167,4.3,2
ES1746A,Valencia/València,38.9347222194748,-0.44138888,4.8,2
ES1709A,Castellón/Castelló,40.0519444394709,-0.18972222,2.3333333333333335,3
ES1685A,Valencia/València,39.708055549472,-0.83194444,1.0,2
ES1671A,Valencia/València,39.5586111094725,-1.28138888,1.0,2
ES1670A,Las Palmas,28.1337319995526,-15.432823,2.0,2
ES1573A,Madrid,40.33971999947,-3.73583,4.5,2
ES1567A,Madrid,40.4791699994696,-3.37778,4.5,2
ES1563A,Castellón/Castelló,40.7349999994689,-0.16944444,2.0,2
ES1543A,Castellón/Castelló,39.9819444394711,0.01055555,0.5,2
ES1445A,Pontevedra,42.2102777694656,-8.73694444,4.3,2
ES1440A,Castellón/Castelló,40.012777769471,-0.05722222,4.8,2
ES1386A,Asturias,43.294116999464,-5.679632,3.0,2
ES1353A,Asturias,43.3665299994639,-5.83303,2.5,2
ES1269A,Valencia/València,39.4561111094729,-0.37583333,2.5,2
ES1239A,Valencia/València,39.6672222194722,-0.23472222,3.3333333333333335,3
ES1185A,Valencia/València,39.4811111094728,-0.44722222,1.0,2
ES1181A,A Coruña,43.367777769464,-8.41888888,3.4,2
ES1138A,Pontevedra,42.2191666594655,-8.74194444,6.4,2
ES1137A,Ourense,42.3519444394653,-7.87694444,7.0,2
ES1096A,Asturias,43.5518999994638,-5.918,7.0,2
ES0880A,A Coruña,43.4499999994639,-7.84722222,5.9,2
ES0201A,,38.276432,-0.71009,3.8499999999999996,2
Elx Carrus,,36.718216,-4.342426,3.724571428571428,175
El Candado,,36.148895,-5.352736,0.1674641148325359,209
Britannia House,,37.356056,-5.870996,3.848314606741574,178
Alcala de Guadaira - Barriada de la Liebre,,40.52164,0.159457,1.9461538461538452,182
Xert/Chert,,42.702168,0.91528,0.5456310679611652,206
STARLAB MOGA Tredos,,41.415127,2.131705,1.5650273224043705,183
Starlab Barcelona,,41.369755,2.137899,2.16125,160
Sants 3 Ràdio,,40.74286,-4.472696,0.4070796460176992,226
Santa María del Cubillo,,41.40033,2.145856,4.187096774193546,186
Plaza Molina,,37.062893,-3.385861,16.98764705882353,170
Observatorio de Sierra Nevada,,37.0917,-2.363404,2845.976960784313,204
METAS,,36.75556,-4.069489,1.5101190476190474,168
La Vaguada James,,41.63295,-0.753018,4.107317073170728,164
La Puebla de Alfinden,,36.780224,-3.894598,4.6442748091603026,131
La Molineta,,41.616116,-4.737996,3.284974093264249,193
JJ6- Línea circular,,43.336266,-8.352069,3.7857142857142856,231
Idaea_16,Valencia/València,39.425279999473,-0.4825,0.23333333333333336,189
ES2055A,Madrid,40.3128499994701,-3.71724,3.0,2
ES2028A,Valencia/València,39.7822222194718,-0.35916666,3.0,3
ES2018A,Alicante/Alacant,37.9911111094788,-0.69,6.5,2
ES2008A,Las Palmas,28.4983799995488,-13.86083,8.0,2
ES1978A,Asturias,43.5165879994638,-5.67065,2.5,2
ES1974A,Santa Cruz de Tenerife,28.6453959995473,-17.771554,3.0,2
ES1956A,Las Palmas,28.9678699995441,-13.555856,3.5,2
ES1955A,Santa Cruz de Tenerife,28.38309599955,-16.57067,3.5,2
ES1954A,Las Palmas,28.1112659995528,-15.520924,4.0,2
ES1952A,Madrid,40.4397222194697,-3.69027777,4.0,2
ES1938A,Madrid,40.3980555494698,-3.68666666,3.0,2
ES1937A,Alicante/Alacant,38.4547222194768,-0.80333333,1.5,2
ES1914A,Valencia/València,39.4574999994729,-0.34277777,2.0,2
ES1912A,Valencia/València,39.705277769472,-0.33666666,1.5,2
ES1911A,Madrid,40.34193999947,-3.83389,1.5,2
ES1890A,Valencia/València,39.4802777694728,-0.33638888,3.6666666666666665,3
ES1885A,Valencia/València,39.6341666594723,-0.26583333,5.0,2
ES1884A,Castellón/Castelló,39.9452777694712,-0.05638888,1.5,2
ES1877A,Madrid,40.4299999994697,-3.54583,1.6666666666666667,3
ES1869A,Cuenca,40.0618499994709,-2.12972,2.6666666666666665,3
ES1858A,Ciudad Real,38.9938899994746,-3.93778,2.0,2
ES1857A,Madrid,40.5933299994693,-3.50306,2.0,2
ES1838A,Illes Balears,39.6776599994721,2.68665,3.1666666666666665,3
ES1827A,Toledo,39.8680599994715,-4.02083,4.0,3
ES1818A,Madrid,40.1672199994705,-3.27667,2.3333333333333335,3
ES1811A,Madrid,40.2519399994703,-4.27472,3.3333333333333335,3
ES1810A,Madrid,40.1852799994705,-3.67972,4.0,3
ES1809A,Madrid,40.6338899994691,-4.01333,4.333333333333333,3
ES1803A,Madrid,40.9102799994684,-3.46667,2.3333333333333335,3
ES1802A,Madrid,40.4549999994696,-3.48417,1.3333333333333333,3
ES1752A,Bizkaia,43.299166659464,-2.98722222,3.6666666666666665,3
ES1712A,Valencia/València,38.9347222194748,-0.44138888,6.75,4
ES1709A,Gipuzkoa,43.309444439464,-2.01111111,4.0,2
ES1697A,Castellón/Castelló,39.9305555494713,-0.60333333,3.3333333333333335,3
ES1691A,Castellón/Castelló,39.8922222194714,-0.065,2.0,2
ES1688A,Castellón/Castelló,40.0519444394709,-0.18972222,2.0,3
ES1685A,Araba/Álava,42.8436111094645,-2.66138888,2.6666666666666665,3
ES1673A,Valencia/València,39.708055549472,-0.83194444,2.5,4
ES1671A,Valencia/València,39.5586111094725,-1.28138888,1.6666666666666667,3
ES1670A,Valladolid,41.6455555494667,-4.73027777,5.0,2
ES1631A,Illes Balears,39.5700799994725,2.65583,6.533333333333334,3
ES1610A,Gipuzkoa,43.2505555494641,-2.155,5.8,2
ES1599A,Bizkaia,43.2130555494641,-3.13444444,3.75,4
ES1598A,Bizkaia,43.298333329464,-2.93027777,3.3333333333333335,3
ES1595A,Madrid,40.33971999947,-3.73583,4.0,3
ES1567A,Madrid,40.4791699994696,-3.37778,3.0,3
ES1563A,Araba/Álava,42.8491666594646,-2.47722222,6.666666666666667,3
ES1544A,Castellón/Castelló,40.7349999994689,-0.16944444,9.5,4
ES1543A,Araba/Álava,42.8547222194646,-2.68055555,1.0,2
ES1502A,Gipuzkoa,43.0483333294643,-2.19111111,1.25,4
ES1499A,Gipuzkoa,43.322777769464,-1.96027777,4.333333333333333,3
ES1494A,Araba/Álava,42.8555555494646,-2.66805555,4.333333333333333,3
ES1492A,Bizkaia,43.4061111094639,-2.70388888,4.0,3
ES1491A,Araba/Álava,42.8752777694645,-3.23138888,1.0,4
ES1489A,Castellón/Castelló,39.9819444394711,0.01055555,1.3333333333333333,3
ES1445A,Asturias,43.294116999464,-5.679632,2.0,3
ES1353A,Araba/Álava,43.1444444394642,-2.96333333,2.0,2
ES1349A,Asturias,43.5298619994638,-5.673498,2.6666666666666665,3
ES1272A,Asturias,43.5388629994638,-5.698921,4.0,2
ES1271A,Asturias,43.3665299994639,-5.83303,5.0,2
ES1269A,Bizkaia,43.2674999994641,-2.91833333,4.0,2
ES1244A,Valencia/València,39.4561111094729,-0.37583333,3.0,4
ES1239A,Madrid,40.4199999994698,-3.74916666,4.5,2
ES1193A,Valencia/València,39.6672222194722,-0.23472222,2.0,2
ES1185A,Valencia/València,39.4811111094728,-0.44722222,1.0,2
ES1181A,Asturias,43.5518999994638,-5.918,2.0,3
ES0880A,Asturias,43.306656999464,-5.689716,3.0,2
ES0825A,Bizkaia,43.302777769464,-2.97722222,3.5,2
ES0110A,Bizkaia,43.2611111094641,-2.94472222,3.6666666666666665,3
ES0041A,,38.276432,-0.71009,3.766666666666667,3
Elx Carrus,,36.718216,-4.342426,5.109090909090907,165
El Candado,,36.148895,-5.352736,0.04682926829268293,205
Britannia House,,37.356056,-5.870996,4.601764705882353,170
Alcala de Guadaira - Barriada de la Liebre,,37.356056,-5.870996,4.096732026143791,153
