location,city,lat,lng,avg_val,count_measurements
ES2028A,Alicante/Alacant,37.9911111094788,-0.69,44.0,3
ES2008A,Valencia/València,39.4502777694729,-0.39638888,7.0,2
ES1970A,Castellón/Castelló,39.8236111094716,-0.24444444,9.0,2
ES1969A,Valencia/València,39.705277769472,-0.33666666,7.5,2
ES1911A,Madrid,40.34193999947,-3.83389,17.5,2
ES1890A,Valencia/València,39.4802777694728,-0.33638888,33.666666666666664,3
ES1885A,Castellón/Castelló,39.9452777694712,-0.05638888,25.0,2
ES1877A,Madrid,40.4299999994697,-3.54583,49.5,2
ES1869A,Madrid,40.5933299994693,-3.50306,38.0,3
ES1838A,Castellón/Castelló,39.9888888794711,-0.02611111,4.666666666666667,3
ES1834A,Madrid,40.1672199994705,-3.27667,4.0,2
ES1811A,Madrid,40.2519399994703,-4.27472,6.0,3
ES1810A,Madrid,40.1852799994705,-3.67972,26.666666666666668,3
ES1809A,Madrid,40.3688899994699,-4.39694,28.333333333333332,3
ES1808A,Madrid,40.3585299994699,-3.54414,11.0,3
ES1807A,Madrid,40.2869399994701,-3.22222,28.666666666666668,3
ES1806A,Madrid,40.7808299994688,-3.7025,7.0,3
ES1805A,Madrid,40.6338899994691,-4.01333,22.0,3
ES1803A,Madrid,40.9102799994684,-3.46667,24.333333333333332,3
ES1802A,Madrid,40.3008299994701,-3.45889,8.0,3
ES1801A,Madrid,40.4549999994696,-3.48417,23.333333333333332,3
ES1752A,Valencia/València,38.7880555494754,-0.69722222,10.666666666666666,3
ES1711A,Castellón/Castelló,40.0541666594709,-0.46833333,6.0,2
ES1689A,Castellón/Castelló,39.8922222194714,-0.065,10.5,2
ES1688A,Castellón/Castelló,40.0519444394709,-0.18972222,14.5,2
ES1685A,Valencia/València,39.708055549472,-0.83194444,7.5,2
ES1671A,Alicante/Alacant,38.3594444394772,-0.47194444,4.5,2
ES1635A,Alicante/Alacant,38.7063888794757,-0.46694444,5.0,2
ES1623A,Valencia/València,39.4780555494728,-0.36833333,6.0,2
ES1619A,Madrid,40.6663899994691,-3.77222,11.0,2
ES1613A,Madrid,40.4477799994697,-3.86722,29.666666666666668,3
ES1612A,Madrid,40.033277777471,-3.591644444,38.333333333333336,3
ES1611A,Madrid,40.3241699994701,-3.87639,47.0,3
ES1568A,Madrid,40.33971999947,-3.73583,48.666666666666664,3
ES1567A,Madrid,40.2811099994702,-3.80167,77.66666666666667,3
ES1565A,Madrid,40.5405599994694,-3.64472,60.666666666666664,3
ES1564A,Madrid,40.4791699994696,-3.37778,34.0,3
ES1563A,Castellón/Castelló,40.7349999994689,-0.16944444,34.666666666666664,3
ES1543A,Castellón/Castelló,40.5547222194694,0.37277777,4.0,2
ES1542A,Castellón/Castelló,40.6372222194692,-0.09111111,3.0,2
ES1441A,Castellón/Castelló,40.4166666594698,-0.24916666,2.0,2
ES1435A,Castellón/Castelló,39.9627777694712,-0.23333333,2.5,2
ES1387A,Castellón/Castelló,40.012777769471,-0.05722222,3.0,2
ES1386A,Valencia/València,39.4561111094729,-0.37583333,5.0,2
ES1239A,Valencia/València,39.4811111094728,-0.44722222,5.5,2
ES1181A,Valencia/València,39.4811111094728,-0.44722222,5.0,1
