location,city,lat,lng,avg_val,count_measurements
ES2029A,Madrid,40.3128499994701,-3.71724,3.5,2
ES2028A,Valencia/València,39.7822222194718,-0.35916666,5.0,3
ES2018A,Alicante/Alacant,37.9911111094788,-0.69,15.0,2
ES2008A,Cáceres,40.0777799994708,-6.14722,17.0,2
ES1997A,Illes Balears,39.5458799994726,2.69971,10.5,2
ES1995A,León,43.0413888794643,-5.08972222,9.5,2
ES1989A,Las Palmas,28.4983799995488,-13.86083,8.5,2
ES1978A,Granada,37.1355599994829,-3.61925,17.84,2
ES1973A,Alicante/Alacant,38.3511111094772,-0.51388888,18.84,2
ES1968A,Toledo,40.1192199994707,-3.83279,14.5,2
ES1963A,Santa Cruz de Tenerife,28.6453959995473,-17.771554,12.0,3
ES1956A,Las Palmas,28.1112659995528,-15.520924,11.5,2
ES1952A,Madrid,40.5005555494695,-3.68972222,8.0,2
ES1947A,Madrid,40.4624999994696,-3.58055555,11.0,2
ES1942A,Madrid,40.4397222194697,-3.69027777,13.0,2
ES1938A,Murcia,37.6030555494806,-0.97527777,10.0,2
ES1921A,Las Palmas,28.0036449995539,-15.411851,15.0,2
ES1919A,Alicante/Alacant,38.4547222194768,-0.80333333,11.0,2
ES1914A,Valencia/València,39.4574999994729,-0.34277777,8.5,2
ES1912A,Valencia/València,39.705277769472,-0.33666666,8.0,2
ES1911A,Málaga,36.7278499994849,-4.56095,9.32,2
ES1897A,Valencia/València,39.4802777694728,-0.33638888,13.82,2
ES1885A,Castellón/Castelló,39.9452777694712,-0.05638888,7.333333333333333,3
ES1877A,Madrid,40.4299999994697,-3.54583,1.5,2
ES1869A,A Coruña,42.8758333294645,-8.55916666,4.0,3
ES1868A,Cuenca,40.0618499994709,-2.12972,10.5,2
ES1858A,Ciudad Real,38.9938899994746,-3.93778,13.5,2
ES1857A,Illes Balears,38.9349199994748,1.43181,17.666666666666668,3
ES1831A,Illes Balears,40.009439999471,3.85648,23.0,2
ES1828A,Illes Balears,39.6776599994721,2.68665,19.5,2
ES1827A,Illes Balears,38.9932299994746,1.30894,21.0,3
ES1825A,Badajoz,38.4291699994769,-6.395,18.25,2
ES1820A,Badajoz,38.9074999994749,-6.33806,9.25,2
ES1819A,Toledo,39.8680599994715,-4.02083,8.5,2
ES1818A,Madrid,40.2519399994703,-4.27472,5.333333333333333,3
ES1810A,Madrid,40.3688899994699,-4.39694,3.3333333333333335,3
ES1808A,Madrid,40.3585299994699,-3.54414,3.6666666666666665,3
ES1807A,Madrid,40.2869399994701,-3.22222,6.333333333333333,3
ES1806A,Madrid,40.7808299994688,-3.7025,3.6666666666666665,3
ES1805A,Madrid,40.9102799994684,-3.46667,2.0,3
ES1802A,Madrid,40.3008299994701,-3.45889,5.333333333333333,3
ES1801A,Cádiz,36.6885499994851,-6.11724,9.44,3
ES1781A,Madrid,40.4549999994696,-3.48417,8.66,2
ES1752A,Málaga,36.7295599994849,-4.46553,10.506666666666666,3
ES1751A,Navarra,42.8944399994645,-2.16583,8.26,2
ES1749A,Navarra,42.8269399994646,-1.64944,4.5,2
ES1747A,Jaén,38.174395999478,-3.01022,12.4,2
ES1718A,Bizkaia,43.2549999994641,-2.90222222,10.9,2
ES1713A,Bizkaia,43.299166659464,-2.98722222,8.333333333333334,3
ES1712A,Valencia/València,38.9347222194748,-0.44138888,12.5,4
ES1709A,Gipuzkoa,43.309444439464,-2.01111111,10.5,2
ES1697A,Castellón/Castelló,39.9305555494713,-0.60333333,6.0,3
ES1691A,Castellón/Castelló,39.8922222194714,-0.065,5.5,2
ES1688A,Castellón/Castelló,40.0622222194709,0.07277777,6.5,2
ES1687A,Castellón/Castelló,40.0519444394709,-0.18972222,14.5,2
ES1685A,Araba/Álava,42.8436111094645,-2.66138888,15.0,2
ES1673A,Araba/Álava,42.5183333294651,-2.61944444,8.0,5
