location,city,lat,lng,avg_val,count_measurements
Xert/Chert,,37.092243,-2.358337,5.060456273764259,263
TALLER,,41.369755,2.137899,0.029565217391304348,115
Sants 3 Ràdio,,40.74286,-4.472696,4.36,110
Santa María del Cubillo,,41.409603,2.137188,6.7273913043478295,230
Pl. Kennedy/Av. Tibidabo (HAUS-Starlab),,37.0917,-2.363404,5.737135278514591,377
METAS,,40.452682,-3.727366,33.98653846153846,260
LST-UPM-LivingLab,,41.63295,-0.753018,3.914248021108176,379
La Puebla de Alfinden,,36.780224,-3.894598,5.835530085959886,349
La Molineta,,37.095314,-2.354704,39.53100303951367,329
KONTAS_S,,37.09556,-2.355025,38.128102189781046,274
KONTAS_G,,41.422535,2.152272,0.28688524590163944,183
Escola Piaget,Madrid,40.3128499994701,-3.71724,9.138005390835584,371
ES2028A,Alicante/Alacant,37.9911111094788,-0.69,9.0,3
ES2008A,Valencia/València,39.705277769472,-0.33666666,5.5,2
ES1911A,Madrid,40.34193999947,-3.83389,2.5,2
ES1890A,Valencia/València,39.4802777694728,-0.33638888,6.333333333333333,3
ES1885A,Castellón/Castelló,39.9452777694712,-0.05638888,3.5,2
ES1877A,Madrid,40.4299999994697,-3.54583,4.5,2
ES1869A,Madrid,40.5933299994693,-3.50306,7.333333333333333,3
ES1838A,Madrid,40.1672199994705,-3.27667,7.0,3
ES1811A,Madrid,40.2519399994703,-4.27472,9.666666666666666,3
ES1810A,Madrid,40.1852799994705,-3.67972,9.0,3
ES1809A,Madrid,40.6338899994691,-4.01333,12.0,3
ES1803A,Madrid,40.9102799994684,-3.46667,6.0,3
ES1802A,Madrid,40.4549999994696,-3.48417,5.0,3
ES1752A,Castellón/Castelló,39.8922222194714,-0.065,5.0,3
ES1688A,Castellón/Castelló,40.0519444394709,-0.18972222,4.0,2
ES1685A,Valencia/València,39.708055549472,-0.83194444,3.0,2
ES1671A,Madrid,40.33971999947,-3.73583,6.5,2
ES1567A,Madrid,40.4791699994696,-3.37778,13.0,3
ES1563A,Castellón/Castelló,40.7349999994689,-0.16944444,3.6666666666666665,3
ES1543A,Castellón/Castelló,40.012777769471,-0.05722222,2.5,2
ES1386A,Valencia/València,39.4561111094729,-0.37583333,3.5,2
ES1239A,Valencia/València,39.4811111094728,-0.44722222,6.5,2
ES1181A,,38.276432,-0.71009,23.35,2
Elx Carrus,,36.718216,-4.342426,33.713736263736266,364
El Candado,,36.148895,-5.352736,22.495822454308108,383
Britannia House,,37.7174107,-6.6053863,40.897619047619045,252
20210929 control del polvo ,,37.7066145,-6.580359,17.421127765881515,1401
