location,city,lat,lng,avg_val,count_measurements
Xert/Chert,,37.092243,-2.358337,5.650570342205327,263
TALLER,,41.369755,2.137899,0.0773913043478261,115
Sants 3 Ràdio,,40.74286,-4.472696,4.885454545454543,110
Santa María del Cubillo,,41.409603,2.137188,7.340000000000003,230
Pl. Kennedy/Av. Tibidabo (HAUS-Starlab),,37.0917,-2.363404,6.881697612732091,377
METAS,,40.452682,-3.727366,39.79538461538465,260
LST-UPM-LivingLab,,41.63295,-0.753018,4.123218997361478,379
La Puebla de Alfinden,,36.780224,-3.894598,6.485386819484236,349
La Molineta,,37.095314,-2.354704,46.97142857142859,329
KONTAS_S,,37.09556,-2.355025,45.46532846715329,274
KONTAS_G,,41.422535,2.152272,0.39508196721311484,183
Escola Piaget,Madrid,40.3128499994701,-3.71724,11.860916442048515,371
ES2028A,Alicante/Alacant,37.9911111094788,-0.69,13.0,3
ES2008A,Valencia/València,39.705277769472,-0.33666666,7.0,2
ES1911A,Valencia/València,39.4802777694728,-0.33638888,5.5,2
ES1885A,Castellón/Castelló,39.9452777694712,-0.05638888,4.5,2
ES1877A,Madrid,40.4299999994697,-3.54583,6.0,2
ES1869A,Madrid,40.2519399994703,-4.27472,17.333333333333332,3
ES1810A,Madrid,40.3688899994699,-4.39694,7.666666666666667,3
ES1808A,Madrid,40.3585299994699,-3.54414,5.0,3
ES1807A,Madrid,40.2869399994701,-3.22222,12.0,3
ES1806A,Madrid,40.7808299994688,-3.7025,8.666666666666666,3
ES1805A,Madrid,40.9102799994684,-3.46667,8.0,3
ES1802A,Madrid,40.3008299994701,-3.45889,10.333333333333334,3
ES1801A,Madrid,40.4549999994696,-3.48417,17.666666666666668,3
ES1752A,Castellón/Castelló,39.8922222194714,-0.065,12.666666666666666,3
ES1688A,Castellón/Castelló,40.0519444394709,-0.18972222,10.5,2
ES1685A,Valencia/València,39.708055549472,-0.83194444,9.0,2
ES1671A,Madrid,40.6663899994691,-3.77222,6.0,2
ES1613A,Madrid,40.4477799994697,-3.86722,8.333333333333334,3
ES1612A,Madrid,40.033277777471,-3.591644444,13.0,3
ES1611A,Madrid,40.3241699994701,-3.87639,24.333333333333332,3
ES1568A,Madrid,40.33971999947,-3.73583,26.333333333333332,3
ES1567A,Madrid,40.2811099994702,-3.80167,23.333333333333332,3
ES1565A,Madrid,40.5405599994694,-3.64472,16.0,3
ES1564A,Madrid,40.4791699994696,-3.37778,7.666666666666667,3
ES1563A,Castellón/Castelló,40.7349999994689,-0.16944444,14.666666666666666,3
ES1543A,Castellón/Castelló,40.012777769471,-0.05722222,7.5,2
ES1386A,Valencia/València,39.4561111094729,-0.37583333,6.5,2
ES1239A,Valencia/València,39.4811111094728,-0.44722222,9.5,2
ES1181A,,38.276432,-0.71009,31.5,2
Elx Carrus,,36.718216,-4.342426,39.663461538461526,364
El Candado,,36.148895,-5.352736,25.196866840731083,383
Britannia House,,36.148895,-5.352736,49.09003984063746,251
