location,city,lat,lng,avg_val,count_measurements
ES1883A,Murcia,38.1147222194782,-1.86861111,2.6666666666666665,3
ES1882A,Castellón/Castelló,39.9452777694712,-0.05638888,22.5,2
ES1877A,Madrid,40.4299999994697,-3.54583,23.0,2
ES1869A,A Coruña,43.4805555494638,-8.24138888,4.1000000000000005,3
ES1867A,Sevilla,37.5550199994808,-6.03616,2.65,2
ES1860A,Cuenca,40.0618499994709,-2.12972,8.5,2
ES1858A,Ciudad Real,38.9938899994746,-3.93778,9.0,2
ES1857A,Alicante/Alacant,38.2591666594776,-0.7175,9.5,2
ES1849A,Almería,36.9967799994835,-1.89535,8.5,2
ES1845A,Madrid,40.5933299994693,-3.50306,4.0,2
ES1838A,Almería,36.9499999994838,-1.96148,4.333333333333333,3
ES1835A,Castellón/Castelló,39.9888888794711,-0.02611111,4.5,2
ES1834A,Illes Balears,38.9349199994748,1.43181,4.5,2
ES1831A,Illes Balears,39.6330999994723,2.63044,3.0,2
ES1829A,Illes Balears,40.009439999471,3.85648,2.45,2
ES1828A,Illes Balears,39.6776599994721,2.68665,1.6,2
ES1827A,Valencia/València,39.5513888794725,-0.46083333,2.1,3
ES1826A,Illes Balears,38.9932299994746,1.30894,3.5,3
ES1825A,Badajoz,38.4291699994769,-6.395,3.3333333333333335,3
ES1820A,Badajoz,38.9074999994749,-6.33806,2.9333333333333336,3
ES1819A,Toledo,39.8680599994715,-4.02083,3.5,3
ES1818A,Barcelona,41.5267059304669,2.183795315,9.666666666666666,3
ES1817A,Tarragona,41.2783810944675,1.179916582,11.0,2
ES1812A,Madrid,40.1672199994705,-3.27667,5.0,2
ES1811A,Madrid,40.2519399994703,-4.27472,5.0,3
ES1810A,Madrid,40.1852799994705,-3.67972,1.6666666666666667,3
ES1809A,Madrid,40.3688899994699,-4.39694,2.0,3
ES1808A,Madrid,40.3585299994699,-3.54414,2.0,3
ES1807A,Madrid,40.2869399994701,-3.22222,2.6666666666666665,3
ES1806A,Madrid,40.7808299994688,-3.7025,1.3333333333333333,3
ES1805A,Madrid,40.6338899994691,-4.01333,2.0,3
ES1803A,Madrid,40.9102799994684,-3.46667,2.3333333333333335,3
ES1802A,Madrid,40.3008299994701,-3.45889,4.666666666666667,3
ES1801A,León,42.542777769465,-6.58472222,7.666666666666667,3
ES1790A,Barcelona,41.7793434514664,2.358018901,1.0,2
ES1778A,Barcelona,41.2022318394677,1.672200024,1.0,2
ES1773A,Valencia/València,39.6847222194721,-0.27888888,2.0,2
ES1765A,Navarra,42.5805599994649,-1.2825,2.6666666666666665,3
ES1755A,Madrid,40.4549999994696,-3.48417,3.5,2
ES1752A,Málaga,36.7295599994849,-4.46553,4.0,3
ES1751A,Navarra,42.8944399994645,-2.16583,4.5,2
ES1749A,Bizkaia,43.2549999994641,-2.90222222,4.0,2
ES1713A,Bizkaia,43.299166659464,-2.98722222,2.6666666666666665,3
ES1712A,Valencia/València,38.9347222194748,-0.44138888,4.5,4
ES1709A,Gipuzkoa,43.309444439464,-2.01111111,2.0,3
ES1697A,Castellón/Castelló,40.2694444394702,-0.07888888,2.3333333333333335,3
ES1690A,Castellón/Castelló,40.0541666594709,-0.46833333,3.0,2
ES1689A,Castellón/Castelló,39.8922222194714,-0.065,3.3333333333333335,3
ES1688A,Castellón/Castelló,40.0622222194709,0.07277777,9.5,2
ES1687A,Castellón/Castelló,40.0519444394709,-0.18972222,12.0,2
ES1685A,Alicante/Alacant,38.0847222194784,-0.85277777,10.5,2
ES1677A,Alicante/Alacant,38.5713888794763,-0.14666666,7.666666666666667,3
ES1675A,Araba/Álava,42.8436111094645,-2.66138888,5.333333333333333,3
ES1673A,Araba/Álava,42.5183333294651,-2.61944444,4.0,4
ES1672A,Valencia/València,39.708055549472,-0.83194444,3.25,4
ES1671A,Valencia/València,39.5586111094725,-1.28138888,1.3333333333333333,3
ES1670A,Navarra,42.3083299994654,-1.80833,2.0,3
ES1662A,Navarra,42.0747199994658,-1.62694,4.0,2
ES1661A,Huelva,37.2714799994822,-6.92462,3.0,2
ES1658A,Sevilla,37.9943499994788,-5.66687,2.0,2
ES1654A,Asturias,43.2561199994641,-5.77594,4.5,2
ES1651A,La Rioja,42.1758299994656,-1.74333,5.033333333333333,3
ES1649A,Cádiz,36.2338599994876,-5.6635,5.7,3
ES1648A,Madrid,40.4747222194696,-3.575,4.0,2
ES1645A,Sevilla,37.3424599994818,-5.83372,9.5,2
ES1640A,Cádiz,36.173149999488,-5.34194,16.0,2
ES1634A,Sevilla,37.3407499994818,-6.04246,9.0,2
ES1630A,Valencia/València,39.5094444394727,-0.41777777,10.5,2
ES1625A,Alicante/Alacant,38.2422222194777,-0.68277777,12.5,2
ES1624A,Alicante/Alacant,38.7063888794757,-0.46694444,5.5,2
ES1623A,Valencia/València,39.4780555494728,-0.36833333,10.0,2
ES1619A,Salamanca,40.9791666594682,-5.66527777,10.0,3
ES1618A,Valencia/València,39.149999999474,-0.45777777,4.333333333333333,3
ES1617A,Cáceres,39.8491699994716,-5.93972,6.2,2
ES1616A,Cáceres,39.4727799994728,-6.36028,1.5666666666666667,3
ES1615A,Madrid,40.6663899994691,-3.77222,1.7,3
ES1613A,Madrid,40.4477799994697,-3.86722,3.6666666666666665,3
ES1612A,Madrid,40.033277777471,-3.591644444,5.0,3
ES1611A,Illes Balears,39.5700799994725,2.65583,7.666666666666667,3
ES1610A,Illes Balears,39.5633199994725,2.62055,11.0,3
ES1604A,La Rioja,42.4638899994651,-2.42778,4.5,2
ES1602A,Badajoz,38.887629999475,-7.01145,5.55,2
ES1601A,Gipuzkoa,43.2505555494641,-2.155,5.55,2
ES1599A,Bizkaia,43.2130555494641,-3.13444444,4.0,4
ES1598A,Bizkaia,43.298333329464,-2.93027777,6.333333333333333,3
ES1595A,Cádiz,36.4605899994864,-6.20307,6.666666666666667,3
ES1593A,Cantabria,43.4605599994638,-3.80861,2.0,2
ES1580A,Cantabria,43.2644399994641,-4.06278,2.0,2
ES1579A,Cantabria,43.3824999994639,-3.22056,1.5,2
ES1578A,Cantabria,43.4208299994639,-3.84111,0.0,2
ES1577A,Cantabria,43.4044399994639,-3.84194,1.0,2
ES1576A,Las Palmas,28.1337319995526,-15.432823,4.0,2
ES1573A,Asturias,43.3726749994639,-5.872797,4.0,2
ES1572A,Murcia,37.6888888794802,-1.70111111,4.5,2
ES1569A,Madrid,40.3241699994701,-3.87639,4.5,2
ES1568A,Madrid,40.33971999947,-3.73583,2.6666666666666665,3
ES1567A,Madrid,40.2811099994702,-3.80167,3.6666666666666665,3
ES1565A,Madrid,40.5405599994694,-3.64472,4.666666666666667,3
ES1564A,Madrid,40.4791699994696,-3.37778,5.0,3
ES1563A,Granada,37.1960999994825,-3.61266,7.0,3
ES1560A,Barcelona,41.512675807467,2.125383709,7.0,2
ES1551A,Araba/Álava,42.8491666594646,-2.47722222,5.0,2
ES1544A,Castellón/Castelló,40.7349999994689,-0.16944444,6.25,4
ES1543A,Castellón/Castelló,40.5547222194694,0.37277777,4.0,2
ES1542A,Guadalajara,40.6298399994692,-3.17159,2.0,3
ES1537A,Madrid,40.3880555494699,-3.65138888,2.3333333333333335,3
ES1532A,Cantabria,43.1533299994642,-4.25306,1.55,2
ES1531A,Cantabria,43.0119399994643,-4.13556,2.05,2
ES1530A,Cantabria,43.4677799994639,-3.79028,3.0,2
ES1529A,Sevilla,37.4298599994814,-5.98039,5.0,2
ES1519A,Illes Balears,39.8396199994716,3.02705,5.0,2
ES1518A,Illes Balears,39.8337899994716,3.1443,12.0,2
ES1517A,Araba/Álava,42.8547222194646,-2.68055555,13.5,2
ES1502A,Gipuzkoa,43.1799999994641,-2.26805555,5.0,4
ES1501A,Gipuzkoa,43.0483333294643,-2.19111111,3.75,4
ES1499A,Gipuzkoa,43.1308333294642,-2.07777777,8.333333333333334,3
ES1498A,Gipuzkoa,43.322777769464,-1.96027777,7.5,4
ES1494A,Araba/Álava,42.8555555494646,-2.66805555,6.0,3
ES1492A,Bizkaia,43.4061111094639,-2.70388888,4.0,3
ES1491A,Bizkaia,43.1722222194642,-2.63583333,2.0,4
ES1490A,Araba/Álava,42.8752777694645,-3.23138888,7.5,4
ES1489A,Barcelona,41.3987432504672,2.153385124,6.0,3
ES1480A,Castellón/Castelló,39.9819444394711,0.01055555,20.5,2
ES1445A,Burgos,42.3361099994653,-3.63611,18.666666666666668,3
ES1443A,Gipuzkoa,43.0641666594643,-2.49,4.5,2
ES1442A,Castellón/Castelló,40.691666659469,0.08472222,5.25,4
ES1437A,Castellón/Castelló,40.4166666594698,-0.24916666,3.0,2
ES1435A,Asturias,43.275634999464,-5.59599,2.0,2
ES1433A,Asturias,43.1787999994641,-6.5527,2.6666666666666665,3
ES1432A,Asturias,43.5588499994638,-5.92748,6.333333333333333,3
ES1424A,Murcia,37.6936111094801,-1.06472222,11.333333333333334,3
ES1423A,Teruel,40.33638999947,-1.10667,15.0,2
ES1421A,Zaragoza,41.7627799994664,-1.14333,16.333333333333332,3
ES1418A,Huesca,42.1361099994657,-0.40389,7.333333333333333,3
ES1417A,Zaragoza,41.505559999467,-0.15194,4.666666666666667,3
ES1400A,Almería,36.8413299994843,-2.44672,5.666666666666667,3
ES1393A,Castellón/Castelló,39.9627777694712,-0.23333333,5.0,2
ES1387A,Ciudad Real,38.7027199994757,-4.112,2.5,2
ES1365A,Asturias,43.5377709994638,-5.646307,5.9,2
ES1358A,Asturias,43.294116999464,-5.679632,6.9,2
ES1353A,Araba/Álava,43.1444444394642,-2.96333333,4.5,2
ES1349A,Lleida,42.3683181094653,1.776783258,3.0,3
ES1348A,Ciudad Real,38.6819799994758,-4.08858,2.5,2
ES1279A,Barcelona,41.6890494414666,2.495746675,5.666666666666667,3
ES1275A,Asturias,43.5298619994638,-5.673498,8.0,2
ES1272A,Asturias,43.5388629994638,-5.698921,7.666666666666667,3
ES1271A,Asturias,43.3665299994639,-5.83303,9.5,2
ES1269A,Asturias,43.358289999464,-5.86643,5.5,3
ES1268A,Illes Balears,38.9064799994749,1.43537,1.9000000000000001,3
ES1247A,Illes Balears,38.9138199994749,1.41426,4.4,2
ES1246A,Bizkaia,43.2674999994641,-2.91833333,4.05,2
ES1244A,Valencia/València,39.4561111094729,-0.37583333,5.75,4
ES1239A,A Coruña,43.335277769464,-8.47194444,9.333333333333334,3
ES1234A,Lleida,41.6157948664667,0.615725897,6.5,2
ES1225A,Tarragona,41.1507788944678,1.120171923,2.0,2
ES1208A,Valencia/València,39.6672222194722,-0.23472222,1.0,2
ES1185A,Valencia/València,38.9666666594747,-0.19,1.0,3
ES1182A,Valencia/València,39.4811111094728,-0.44722222,10.5,2
ES1181A,Cádiz,36.2087899994878,-5.39138,12.0,2
ES1169A,Pontevedra,42.2191666594655,-8.74194444,2.5,2
ES1137A,Barcelona,41.5776268914668,1.625893365,4.0,2
ES1135A,Tarragona,41.1935872404677,1.236702825,6.0,2
ES1122A,Illes Balears,39.8909199994714,4.252975,3.45,2
ES1095A,Illes Balears,39.7899499994717,3.07413,4.2,2
ES1093A,Cádiz,36.159369999488,-5.34836,24.75,2
ES1072A,Huelva,37.2192499994824,-6.88858,22.0,2
ES1067A,Zaragoza,41.6702799994666,-0.87111,3.51,2
ES1044A,Cantabria,43.355829999464,-4.06361,4.01,2
ES1039A,Cantabria,43.346389999464,-4.06417,1.0,2
ES1038A,Cantabria,43.3674999994639,-4.04278,0.5,2
